209813	0	3
209813	19	36
209813	49	65
209813	235	249
210028	0	6
210028	0	6
210117	174	181
210306	151	168
210365	861	901
210441	0	39
210456	220	235
210456	329	336
210456	0	29
210467	147	205
210725	0	50
210903	201	209
210911	63	65
210911	0	36
211006	183	191
211006	0	28
211041	248	302
211142	170	175
211142	278	280
211258	440	449
211258	0	4
211258	271	314
211326	181	197
211430	64	79
211430	13	29
211430	106	180
211430	116	180
211495	0	61
211495	209	216
211495	306	326
211495	306	334
211495	506	510
211495	499	517
211495	571	621
211692	45	53
211919	6	12
211919	430	481
212018	0	28
212018	108	112
212018	158	160
212018	129	156
212018	158	159
212123	240	250
212123	240	250
212219	0	31
212348	1	7
315138	6	14
315138	6	14
315330	266	308
315353	238	273
315353	596	600
315353	238	273
315353	596	600
315420	362	380
315425	3	34
315425	156	174
315425	47	60
315436	369	407
315436	140	218
315436	249	324
315436	132	137
315436	175	218
315436	249	270
315556	73	77
315580	271	301
315580	0	51
315588	241	255
315628	0	66
315628	221	267
315716	229	260
315716	229	260
315760	0	13
315916	190	196
315916	199	204
315916	252	256
315944	259	286
315944	288	357
315993	285	305
315993	285	305
316112	71	84
316112	173	199
316139	306	373
316139	54	145
316139	54	145
316139	306	373
316157	295	313
316157	343	364
316157	343	364
316157	295	313
316222	302	340
316438	171	177
316438	188	207
316544	289	396
316633	90	110
316644	217	234
316680	239	250
316702	23	45
316702	201	220
316702	541	556
316738	266	272
316797	0	44
316797	257	274
316845	122	133
316845	39	68
321591	222	243
321591	222	243
321596	0	37
321596	155	159
321596	151	285
321596	287	299
321596	168	240
321596	0	37
321596	151	285
321596	287	299
321596	155	159
321596	168	240
321621	61	68
321621	207	239
321732	194	251
321732	79	111
321732	34	65
321798	197	208
321798	223	229
321798	45	154
321798	197	208
321798	223	229
321798	45	154
321885	327	354
321885	166	191
321885	206	209
321885	56	63
321885	65	86
321885	225	313
322136	0	5
322136	291	293
322136	164	166
322196	0	6
322196	207	213
322226	8	14
322264	15	20
322316	0	54
322316	77	164
322316	167	214
322364	177	218
322364	177	218
322393	6	13
322393	163	214
322455	239	273
322455	121	124
322543	0	28
322543	0	16
322677	0	26
322677	173	179
322745	0	3
322745	6	37
322745	241	272
322745	130	173
322745	21	37
322768	229	245
322796	133	137
322805	279	284
322805	0	26
322833	0	11
322833	160	169
322997	93	99
322997	285	288
322997	0	20
322997	93	99
322997	285	288
323103	153	191
323289	54	121
323304	19	27
323357	0	32
323726	8	24
334143	50	63
334143	25	47
334143	1	47
334143	67	85
334143	188	198
347649	79	87
371408	98	102
371408	370	382
371408	75	88
373014	11	39
373014	41	50
398162	243	266
398162	243	266
401299	281	310
401299	281	310
406613	108	121
406613	135	142
406613	452	474
406613	244	267
406613	108	121
406613	135	142
406613	244	267
406613	452	474
416563	10	21
416563	202	212
416563	335	351
416563	10	21
416563	196	212
416563	335	351
436787	358	365
477294	10	22
477294	386	410
477294	537	554
477294	667	723
477294	727	745
477294	10	22
477294	386	410
477294	667	697
477294	700	723
477294	727	745
477294	537	554
477319	15	21
477319	89	97
477319	138	211
477328	222	234
477531	7	20
477620	0	36
477620	238	275
477814	0	51
477842	0	19
477842	198	220
477842	244	260
477920	237	241
477920	237	241
477934	162	179
477934	0	18
477934	97	104
477934	191	198
478085	231	268
478237	83	191
478237	138	190
478610	0	4
478610	6	45
478644	183	196
478691	0	46
478691	259	283
478705	1	32
478749	10	45
478916	0	18
478916	264	313
478916	341	377
478916	264	313
478916	341	377
478916	0	18
478923	22	46
479109	0	45
479331	0	12
479338	10	29
479338	310	336
479338	310	336
543165	19	29
543177	0	3
543177	222	259
543177	0	3
543177	222	260
543315	0	28
543315	342	393
543315	51	62
543315	0	28
543315	342	393
543315	51	62
543353	255	267
543353	255	267
543458	149	203
543458	149	203
543646	212	235
543688	89	128
543688	396	461
543780	146	202
543780	146	202
544007	169	201
544053	197	216
544053	197	216
544105	70	111
544274	108	189
